,Unnamed: 0,Unnamed: 0.1,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,date,tweet_count,daily_sent,elonmusk,michael_saylor,binance,peterlbrandt,apompliano,cashapp,investingcom,coinmarketcap,raoulgmi,charliebilello,MA_7,MA_30,MA_100,ADX_2_4,RSI_14,MACD_3_14,MACDsign_3_14,MACDdiff_3_14,Mass Index
199,199,199,11464.47,11565.0,11050.02,11515.0,17295.918653,1520207999999,194849579.1250208,168359,8197.401595,92437014.46393472,2018-03-04,3.0,0.2797333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10879.754285714285,9643.136666666665,12242.314000000002,0.9312179896520406,0.7067967020895669,724.1577612666842,450.4270027794956,273.73075848718867,23.021649380881573
200,200,200,11515.0,11710.0,11415.01,11454.0,15144.231063,1520294399999,174866951.39806527,164318,7668.823714,88588986.3365785,2018-03-05,8.0,0.0662875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11041.182857142858,9718.271333333334,12269.853900000002,0.9019155218652132,0.7290010227945466,672.7712209859656,494.8958464207896,177.87537456517595,22.890116131375837
201,201,201,11455.0,11455.0,10555.48,10716.48,29515.572363,1520380799999,323842216.64859617,250306,13482.297196,147874120.62232068,2018-03-06,10.0,0.17309,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11062.245714285715,9802.660333333333,12285.738500000001,0.9292634329421279,0.4802454407918798,335.228305465278,462.9623382296873,-127.73403276440928,22.872717376543036
202,202,202,10716.48,10899.0,9389.31,9910.0,50647.67108,1520467199999,514808033.4879209,396721,24022.451231,244164771.36009568,2018-03-07,7.0,0.2310285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11002.70857142857,9901.660666666667,12288.338500000002,0.9504404700869947,0.31302924388696823,-129.09817829134772,344.5502349254803,-473.64841321682803,23.06142020342932
203,203,203,9910.0,10099.0,9060.0,9271.64,41109.473226,1520553599999,394641280.63843673,336514,20257.455838,194608716.9350392,2018-03-08,6.0,-0.1691333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10767.22857142857,9955.644,12282.0869,0.9683257087960745,0.2811344289589126,-555.765109366439,164.4871660670964,-720.2522754335354,23.292235060836134
204,204,204,9267.07,9410.0,8329.0,9227.0,64112.291407,1520639999999,567082901.1319405,462712,31166.414848,275735446.01075995,2018-03-09,10.0,0.18852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10508.371428571427,10009.910666666667,12277.4781,0.8251670629435084,0.22295039955384277,-719.9711055412063,-12.404488254564175,-707.5666172866421,23.533380423698993
205,205,205,9230.0,9490.0,8667.07,8770.22,37180.012857,1520726399999,341210248.41481787,288066,17639.827276,161991786.13432977,2018-03-10,9.0,0.3652222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10123.477142857142,10042.784000000001,12266.790700000001,0.6656761312781779,0.2427408112219983,-910.6149635141755,-192.04658330648653,-718.568380207689,23.771513566157807
206,206,206,8770.22,9740.0,8450.0,9533.57,44325.973386,1520812799999,403491260.9275316,333367,21150.206944,192897625.6114657,2018-03-11,6.0,-0.2021833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9840.415714285715,10071.105666666666,12254.296500000002,0.6927101940502346,0.306433841223958,-652.6246377348543,-284.16219419216014,-368.4624435426942,24.03490143366257
207,207,207,9533.57,9888.88,8780.0,9131.34,42230.77793,1520899199999,395562731.86503726,336642,19369.697756,181454623.85622355,2018-03-12,5.0,-0.0684799999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9508.607142857143,10091.017666666665,12236.709800000002,0.7089306317134686,0.3443284935482307,-644.8048540481486,-356.2907261633579,-288.51412788479075,24.273400297744136
208,208,208,9131.34,9474.0,8823.0,9150.0,40191.409358,1520985599999,367353984.7132836,342734,19856.457047,181534440.7752947,2018-03-13,4.0,0.098675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9284.824285714287,10127.221666666666,12216.5557,0.8028768901380192,0.3443284935482307,-591.587290847363,-403.35003910015894,-188.23725174720403,24.448132529258334
209,209,209,9151.92,9333.78,7900.28,8170.0,49708.094108,1521071999999,426058009.75594646,399127,22883.329725,196344166.24842268,2018-03-14,8.0,0.1299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9036.252857142857,10102.788333333332,12182.4657,0.8691479397957855,0.23733095165246845,-888.4205274038522,-500.3641367608977,-388.05639064295457,24.65348812313872
210,210,210,8184.01,8430.0,7650.0,8240.98,52291.022277,1521158399999,422130717.47310126,400529,26414.160251,213358245.6744019,2018-03-15,6.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.015714285715,10092.824333333334,12147.875600000001,0.5234203485188429,0.2162954735180561,-931.7942280847383,-586.6501550256659,-345.1440730590724,24.72896086543929
211,211,211,8240.98,8611.64,7900.0,8260.0,38815.409893,1521244799999,322355002.16519487,255807,20049.433993,166563494.40168035,2018-03-16,6.0,0.2747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8750.872857142856,10053.158,12094.9751,0.550864542455149,0.2704443774029881,-881.4958831741351,-645.6193006553598,-235.8765825187753,24.741505894763645
212,212,212,8260.0,8348.62,7721.99,7824.8,33110.206329,1521331199999,265973111.6176285,292041,15677.257361,125987772.43325073,2018-03-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8615.812857142857,9980.648333333334,12007.233099999998,0.6977339912864357,0.2508457826813056,-960.506874834593,-708.5968154912065,-251.91005934338648,24.746165475929676
213,213,213,7824.01,8317.4,7322.0,8189.99,59488.231711,1521417599999,458311733.5188204,423336,28216.510794,217530802.6198248,2018-03-18,2.0,-0.43745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8423.872857142856,9914.981999999998,11930.332999999999,0.5878583119359096,0.21116951294793102,-796.8081795651506,-726.2390883059953,-70.56909125915524,24.74072349035372
214,214,214,8189.0,8705.23,8088.4,8600.0,55297.084942,1521503999999,462654338.9821279,360414,27263.324764,228208487.5469021,2018-03-19,9.0,0.1095111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8347.967142857142,9833.663666666665,11869.7723,0.6721541903472904,0.32977036987657204,-522.4145329773837,-685.4741772402731,163.05964426288938,24.63734924382216
215,215,215,8595.01,9050.0,8280.0,8909.98,44865.105835,1521590399999,387879393.4706143,298261,22849.035238,197422831.30082303,2018-03-20,4.0,0.2992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8313.67857142857,9784.548666666666,11809.872300000003,0.7564379851294676,0.4193223558396794,-255.0236505908597,-599.3840719103904,344.3604213195307,24.56544675939621
216,216,216,8909.96,9177.01,8750.6,8885.0,39972.405371,1521676799999,358157473.3612324,293696,19047.486799,170758402.39723507,2018-03-21,7.0,0.0519571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8415.82142857143,9708.948666666665,11732.8426,0.6567804422817928,0.4505293847876503,-131.31202485064205,-505.7696624984407,374.45763764779866,24.405583390291458
217,217,217,8884.82,9100.0,8465.1,8722.9,40617.556809,1521763199999,354804129.3433086,276449,19567.563618,171050710.2125002,2018-03-22,6.0,0.1478166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8484.667142857143,9626.345666666666,11656.571699999999,0.7159038164848145,0.39541259444981214,-128.38618537317052,-430.2929670733867,301.9067817002162,24.32548393670304
218,218,218,8720.0,8909.0,8269.0,8898.03,39991.007666,1521849599999,340755592.544531,278571,20106.789387,171487640.92907605,2018-03-23,5.0,0.2297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8575.814285714285,9575.026666666668,11585.219100000002,0.43714410439467777,0.36046309266043736,-54.34490924139027,-355.1033555069874,300.7584462655971,24.21425974004454
219,219,219,8898.04,8999.95,8491.0,8546.86,35466.609572,1521935999999,313254829.9051367,270300,17302.10809,152967779.86486968,2018-03-24,2.0,0.19945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8678.965714285714,9532.887333333334,11507.3379,0.5210140008929555,0.3893471307875696,-147.3996956348583,-313.5626235325616,166.1629278977033,24.116414789851493
220,220,220,8531.25,8669.85,8365.77,8470.15,29001.769316,1522022399999,247023172.30795503,215660,14379.264362,122528263.982816,2018-03-25,2.0,0.56945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8718.988571428572,9477.524333333333,11416.6411,0.6975324558955586,0.3632803282319173,-206.02379002970338,-292.05485683199,86.0310668022866,23.974932784758156
221,221,221,8470.14,8514.89,7831.0,8134.23,44033.59566,1522108799999,358429758.8731952,310462,20957.25692,170723432.32235476,2018-03-26,5.0,-0.04276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8652.45,9425.515000000001,11306.9568,0.8085097762698318,0.2731675384751697,-340.8633115988232,-301.81654778535665,-39.046763813466555,23.88931121633758
222,222,222,8134.22,8215.94,7730.0,7795.51,37427.64805,1522195199999,297609656.4404365,266540,18462.382105,146860645.0354061,2018-03-27,9.0,0.0024666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8493.24,9365.698666666667,11196.311700000002,0.8752920836995777,0.2591583797934333,-500.7668835055183,-341.606614929389,-159.16026857612928,23.86812530167853
223,223,223,7795.51,8109.0,7728.0,7949.3,26401.33167,1522281599999,209186093.1831796,183620,13685.417143,108484584.61222105,2018-03-28,11.0,0.2747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8359.56857142857,9286.542,11087.242200000002,0.924768075748094,0.25885506320808827,-480.28430576471874,-369.34215309645504,-110.9421526682637,23.847866755808386
224,224,224,7949.3,7975.0,6941.11,7090.14,54620.915125,1522367999999,405591158.6323181,359537,24584.811548,182402558.2111396,2018-03-29,12.0,-0.04575,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8126.317142857143,9170.578666666668,10985.191599999998,0.9546795689806415,0.16903957546765416,-754.414901692724,-446.3567028157089,-308.0581988770151,23.997521097869306
225,225,225,7090.16,7292.43,6600.1,6840.23,65306.031976,1522454399999,450352009.170998,400057,31944.390579,220453635.6071132,2018-03-30,7.0,0.3877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7832.345714285715,9054.361,10888.704099999999,0.9726264649201701,0.14404755073449768,-914.54416648201,-539.9941955489692,-374.54997093304087,24.21728615643402
226,226,226,6840.24,7223.36,6777.0,6923.91,36868.539087,1522540799999,258341534.47236213,240293,19086.033607,133763988.34700295,2018-03-31,2.0,0.2097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7600.495714285714,8921.158,10803.016800000001,0.9835460679310731,0.14404755073449768,-892.2812367918987,-610.4516037975551,-281.82963299434357,24.287923058677947
227,227,227,6922.0,7049.98,6430.0,6813.01,44071.430463,1522627199999,297470498.81956285,260942,21899.30066,147951173.82212943,2018-04-01,2.0,-0.17135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7363.761428571429,8780.291666666666,10737.880799999999,0.7089395335845694,0.12001007174673127,-863.8118848067243,-661.123659999389,-202.68822480733525,24.172340841967955
228,228,228,6813.01,7125.0,6765.0,7056.0,32123.560072,1522713599999,224322159.41331607,206780,16365.683591,114292405.85810466,2018-04-02,6.0,0.2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7209.728571428571,8633.342333333332,10675.440799999998,0.7461751758099647,0.15517776375765957,-704.7913732926991,-669.857202658051,-34.93417063464801,23.975487513295633
229,229,229,7063.97,7520.0,7011.01,7405.21,37787.331811,1522799999999,277080072.7617128,248143,19218.850485,140892233.113676,2018-04-03,7.0,0.1671857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7153.971428571428,8496.349333333334,10614.492900000001,0.6039005537542947,0.3202222602974399,-460.85272675044234,-628.0563074765294,167.203580726087,23.764920188586288
