,date,tweet_count,daily_sent,binance,charliebilello,coinmarketcap,huobiglobal,vitalikbuterin,investingcom,justinsuntron,grayscale,bosslogic,scottmelker
2021-01-28,2021-01-28,10,0.1594,0,0,1,0,0,0,0,0,0,0
2021-01-27,2021-01-27,10,0.31135999999999997,0,0,1,0,0,0,0,0,0,0
2021-01-26,2021-01-26,10,0.21905999999999998,0,0,1,0,0,0,0,0,0,0
2021-01-25,2021-01-25,20,0.38431999999999994,0,0,1,0,0,0,0,0,0,0
2021-01-24,2021-01-24,6,0.2740666666666667,0,0,1,0,0,0,0,0,0,0
2021-01-23,2021-01-23,4,0.8308,0,0,0,0,0,0,0,0,0,0
2021-01-22,2021-01-22,4,0.27815,0,0,1,0,0,0,0,0,0,0
2021-01-21,2021-01-21,8,0.10327499999999999,0,0,0,1,0,0,0,0,0,0
2021-01-20,2021-01-20,14,0.30317142857142854,0,0,1,0,0,0,1,0,0,0
2021-01-19,2021-01-19,42,0.28211904761904755,0,1,1,0,0,1,0,0,0,1
2021-01-18,2021-01-18,6,-0.09099999999999998,0,0,0,0,0,0,0,1,0,0
2021-01-17,2021-01-17,6,0.6847,0,0,1,0,0,0,0,0,0,0
2021-01-16,2021-01-16,6,0.02513333333333334,0,0,0,0,0,0,0,0,0,0
2021-01-15,2021-01-15,8,0.4946,0,0,1,0,0,0,0,1,0,0
2021-01-14,2021-01-14,4,0.3872,0,0,1,0,0,0,0,0,0,0
2021-01-13,2021-01-13,4,0.35825,0,0,0,0,0,0,0,0,0,0
2021-01-12,2021-01-12,4,0.55935,0,0,0,0,0,0,0,0,0,0
2021-01-11,2021-01-11,10,0.1621,1,0,1,0,0,1,0,0,0,0
2021-01-10,2021-01-10,8,0.42965,0,0,1,0,0,0,0,0,0,0
2021-01-09,2021-01-09,4,0.66045,0,0,1,0,0,0,0,0,0,0
2021-01-08,2021-01-08,10,-0.07869999999999999,0,1,0,0,0,0,0,0,0,0
2021-01-07,2021-01-07,12,0.12806666666666663,0,0,1,0,0,0,0,0,0,0
2021-01-06,2021-01-06,8,0.2292,0,0,0,0,0,0,0,0,0,0
2021-01-05,2021-01-05,12,0.44375000000000003,0,0,1,0,0,0,0,0,0,0
2021-01-04,2021-01-04,26,0.0206,1,1,0,1,0,0,1,0,0,0
2021-01-03,2021-01-03,8,0.026074999999999987,0,0,1,0,0,1,0,0,0,0
2021-01-02,2021-01-02,12,0.17026666666666668,0,0,1,0,0,0,0,0,0,0
2021-01-01,2021-01-01,6,0.4868333333333334,0,0,0,0,0,0,0,0,0,0
2020-12-30,2020-12-30,5,0.44442000000000004,0,0,1,0,0,0,0,0,0,0
2020-12-29,2020-12-29,2,0.4215,0,0,0,0,0,0,0,0,0,0
2020-12-28,2020-12-28,6,-0.06583333333333335,0,0,0,0,0,0,0,0,0,0
2020-12-27,2020-12-27,4,0.17,0,0,0,0,0,0,0,0,0,0
2020-12-26,2020-12-26,2,0.8519,0,0,0,0,0,0,0,0,0,0
2020-12-24,2020-12-24,4,0.32985,0,0,1,0,0,0,0,0,0,0
2020-12-23,2020-12-23,10,0.26486,0,0,0,0,0,0,1,0,0,0
2020-12-22,2020-12-22,12,0.19566666666666666,0,0,0,1,0,0,0,1,0,0
2020-12-21,2020-12-21,12,0.16463333333333333,0,0,0,0,0,0,0,0,0,0
2020-12-20,2020-12-20,5,0.6540600000000001,0,0,1,0,0,0,0,0,0,0
2020-12-19,2020-12-19,8,0.344325,0,0,1,0,0,0,0,1,0,0
2020-12-18,2020-12-18,12,0.46599999999999997,0,0,1,0,0,0,0,1,0,0
2020-12-17,2020-12-17,10,0.17059999999999997,0,0,1,0,0,1,0,0,0,0
2020-12-16,2020-12-16,10,0.23731999999999998,0,0,0,0,0,0,0,1,0,0
2020-12-15,2020-12-15,10,0.25188,0,0,0,0,0,0,0,1,0,0
2020-12-14,2020-12-14,8,0.36367499999999997,0,0,0,0,1,0,0,0,0,0
2020-12-13,2020-12-13,2,0.8149,0,0,1,0,0,0,0,0,0,0
2020-12-12,2020-12-12,4,0.5044500000000001,0,0,0,0,0,0,0,0,0,0
2020-12-11,2020-12-11,2,-0.5267,0,0,0,0,0,0,0,0,0,0
2020-12-10,2020-12-10,8,0.7068,0,0,0,0,0,0,0,0,0,0
2020-12-09,2020-12-09,4,0.1357,1,0,0,0,0,0,0,0,0,0
2020-12-08,2020-12-08,4,0.4549,0,0,0,0,0,0,0,0,0,0
2020-12-07,2020-12-07,4,0.5584,0,0,0,0,0,0,0,0,0,0
2020-12-06,2020-12-06,2,0.25,0,0,1,0,0,0,0,0,0,0
2020-12-05,2020-12-05,6,0.18399999999999997,0,0,0,0,0,0,0,0,0,0
2020-12-04,2020-12-04,8,0.16462500000000002,0,0,1,1,0,0,0,0,0,0
2020-12-03,2020-12-03,13,0.4964923076923077,0,0,1,0,0,0,0,0,0,0
2020-12-02,2020-12-02,8,0.438975,0,0,1,0,0,0,0,1,0,0
2020-12-01,2020-12-01,16,0.5975374999999999,1,0,0,0,0,0,0,0,0,0
2020-11-30,2020-11-30,14,0.3559,1,0,0,1,0,0,0,0,0,0
2020-11-29,2020-11-29,2,-0.4019,0,0,0,1,0,0,0,0,0,0
2020-11-28,2020-11-28,2,0.34,0,0,0,0,0,0,0,0,0,0
2020-11-27,2020-11-27,2,-0.2486,0,0,0,0,0,0,0,0,0,0
2020-11-26,2020-11-26,4,0.50865,0,0,0,0,0,0,0,0,0,1
2020-11-25,2020-11-25,14,0.2752142857142857,0,0,0,0,1,0,0,1,0,0
2020-11-24,2020-11-24,35,0.44357428571428575,1,0,1,0,0,0,0,0,0,0
2020-11-23,2020-11-23,18,0.1770222222222222,0,0,1,1,0,0,1,0,0,0
2020-11-22,2020-11-22,10,0.4725,0,0,1,0,0,0,1,0,0,0
2020-11-21,2020-11-21,6,0.45480000000000004,0,0,1,0,0,0,0,0,0,0
2020-11-20,2020-11-20,8,-0.00045000000000000595,0,0,1,1,0,0,0,0,0,0
2020-11-19,2020-11-19,8,0.22467499999999999,1,0,0,1,0,0,0,1,0,0
2020-11-18,2020-11-18,6,0.07580000000000002,0,0,0,0,0,0,0,0,0,1
2020-11-17,2020-11-17,12,0.40159999999999996,0,0,0,0,1,0,0,1,0,0
2020-11-16,2020-11-16,4,0.0129,1,0,0,0,0,0,0,0,0,0
2020-11-15,2020-11-15,2,0.8176,0,0,0,0,0,0,0,0,0,0
2020-11-13,2020-11-13,6,0.09053333333333331,0,0,0,0,0,0,0,0,0,0
2020-11-12,2020-11-12,4,0.04204999999999999,0,0,1,0,0,0,0,0,0,0
2020-11-11,2020-11-11,12,0.10985,0,0,0,0,0,0,0,1,0,0
2020-11-10,2020-11-10,10,0.01544,0,0,0,0,0,0,0,1,0,0
2020-11-09,2020-11-09,4,0.1591,0,0,0,0,0,0,0,0,0,0
2020-11-07,2020-11-07,8,0.482,0,0,1,0,0,0,0,0,0,0
