,Unnamed: 0,Unnamed: 0.1,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,date,tweet_count,daily_sent,narendramodi,amitshah,ryangirdusky,sentedcruz,brendanblumer,elienyc,binance,whcos,yamiche,rashtrapatibhvn,MA_7,MA_30,MA_100,ADX_2_4,RSI_14,MACD_3_14,MACDsign_3_14,MACDdiff_3_14,Mass Index
329,329,329,5.2,5.2879,5.0844,5.2186,4249609.21,1555977599999,22071072.721734,39671,2178617.53,11316125.917006,2019-04-22,9.0,0.343,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.381385714285714,4.967356666666666,3.625641,0.5829003491294188,0.3837512074089593,-0.03000295308660128,0.12942352837552734,-0.15942648146212862,27.079218681054222
330,330,330,5.2185,5.3698,5.07,5.1033,4908584.23,1556063999999,25792670.152509,53272,2440193.47,12828887.064822,2019-04-23,5.0,0.09642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.326142857142856,5.01642,3.6545820000000004,0.7099709566658597,0.4422271350717058,-0.08662238532394095,0.08621434563563367,-0.17283673095957464,26.842315183075357
331,331,331,5.1006,5.1431,4.56,4.773,10048980.02,1556150399999,48320820.767811,99939,4805121.35,23123093.426852,2019-04-24,10.0,0.20023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.234385714285715,5.0538533333333335,3.6780559999999998,0.7929027326715521,0.2629491429553809,-0.22649264693852444,0.02367294712080203,-0.2501655940593265,26.70976531595922
332,332,332,4.7737,4.8463,4.5226,4.6112,7340337.9,1556236799999,34484548.154432,78037,3700509.56,17390676.327308,2019-04-25,4.0,0.4896749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112357142857142,5.082763333333333,3.7006719999999995,0.5935352590355647,0.2542283708125968,-0.33133025050894194,-0.04732769240514679,-0.28400255810379516,26.645757573180248
333,333,333,4.6089,4.9736,4.526,4.7925,8195243.18,1556323199999,38660932.252373,86646,4247091.96,20030013.323654,2019-04-26,3.0,0.3921666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.017771428571429,5.100716666666667,3.72457,0.47391477485397215,0.34017286493715954,-0.28819452868885964,-0.09550105966188939,-0.19269346902697027,26.732232325135538
334,334,334,4.7928,4.8362,4.6959,4.7403,2341913.67,1556409599999,11154900.561779,24717,1025824.87,4888237.567782,2019-04-27,2.0,-0.1597999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.919657142857143,5.117253333333334,3.747255,0.5479869391372924,0.34017286493715965,-0.2694294139875675,-0.13028673052702505,-0.13914268346054243,26.19311386810051
335,335,335,4.7404,4.7974,4.6333,4.7438,2251382.35,1556495999999,10660682.374973,26330,1169039.7,5537674.567594,2019-04-28,4.0,0.34275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.854671428571429,5.13198,3.770397,0.7105399280289497,0.316307737355915,-0.24205257001783664,-0.15263989842518738,-0.08941267159264926,25.29626778370735
336,336,336,4.7453,4.757,4.45,4.5138,4119026.71,1556582399999,18835793.941413,45112,1880954.57,8595209.936116,2019-04-29,7.0,0.1999285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.753985714285714,5.1441,3.7910950000000003,0.48912540433133395,0.255699685437783,-0.29838576629643043,-0.181789071999436,-0.11659669429699443,24.686097273553557
337,337,337,4.5127,4.85,4.5098,4.8159,4605826.46,1556668799999,21453854.530111,55727,2237486.42,10425072.515308,2019-04-30,7.0,0.1259571428571428,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.712928571428571,5.164986666666667,3.815988,0.4378637278715607,0.3307693884617867,-0.1921344335973929,-0.18385814431902742,-0.00827628927836549,24.34756428960148
338,338,338,4.817,4.8674,4.6642,4.7617,3282629.37,1556755199999,15629160.23534,38966,1500444.06,7138910.872109,2019-05-01,6.0,0.1261333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.711314285714286,5.183566666666667,3.840382,0.46520861075364967,0.34503044863809973,-0.15315656052131654,-0.17771782755948526,0.024561267038168716,23.985434069773493
339,339,339,4.7633,4.82,4.6221,4.783,3808800.03,1556841599999,18051068.909489,49237,1859040.12,8814558.896251,2019-05-02,13.0,0.1806461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.735857142857143,5.175560000000001,3.863936,0.6469126106744627,0.3256565683917494,-0.11824571148692797,-0.1658234043449738,0.047577692858045834,23.75380731347856
340,340,340,4.7822,5.2099,4.7553,5.0841,6934418.45,1556927999999,34500544.144605,85765,3540790.06,17611040.971581,2019-05-03,8.0,0.0728125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.777514285714285,5.1714,3.8905890000000003,0.7559350106269506,0.5785451753125297,0.015168703860434896,-0.12962498270389206,0.14479368656432695,23.66618578030263
341,341,341,5.0834,5.1954,4.77,4.9472,6212326.05,1557014399999,30820815.986919,76181,3114948.09,15456004.619655,2019-05-04,5.0,0.2647199999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.807071428571429,5.167473333333334,3.915718,0.8213484505984432,0.5785451753125297,0.02177370358692965,-0.0993452454457277,0.12111894903265735,23.696855023260152
342,342,342,4.949,5.0162,4.8309,4.879,3289735.46,1557100799999,16187173.411811,41725,1469743.29,7221436.134709,2019-05-05,3.0,0.3489666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.826385714285714,5.153116666666667,3.9402229999999996,0.8368847906145219,0.5785451753125297,-0.0018223767707183924,-0.07984067171072584,0.07801829494000745,23.634590549947106
