,Unnamed: 0,Unnamed: 0.1,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,date,tweet_count,daily_sent,charliebilello,huobiglobal,binance,vitalikbuterin,coinmarketcap,eth_classic,grayscale,investingcom,scottmelker,justinsuntron,MA_7,MA_30,MA_100,ADX_2_4,RSI_14,MACD_3_14,MACDsign_3_14,MACDdiff_3_14,Mass Index
249,249,249,620.67,649.11,618.02,645.09,77475.70793,1524527999999,49473079.4449478,88353,39248.30497,25074915.2718645,2018-04-23,5.0,0.14426,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,583.5371428571428,467.82233333333335,742.8608,0.9829003723271832,0.9242711674837888,77.76212380054221,56.95219270864649,20.80993109189572,24.125935991824072
250,250,250,644.58,712.99,643.76,701.58,171437.66972,1524614399999,118180314.7165787,159888,91426.36964,62994280.5966092,2018-04-24,3.0,0.0015666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,611.9685714285714,473.75033333333334,736.4065999999999,0.738029021232274,0.9513292484421315,95.16191684166586,64.59413753525037,30.56777930641549,24.308979726247863
251,251,251,701.16,703.3,593.83,618.0,341439.50428,1524700799999,218497368.193498,309129,168602.81904,107875026.5250613,2018-04-25,4.0,0.273575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0985714285714,478.1836666666667,729.8765999999999,0.5911062105753285,0.719482693289637,65.71169937004174,64.81764990220864,0.8940494678330992,24.712067662723626
252,252,252,617.73,666.19,600.0,661.51,155754.00815,1524787199999,98084636.5776993,150017,76481.83444,48219285.0652012,2018-04-26,7.0,0.2078428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,638.4371428571429,485.284,726.4917,0.6001541154906846,0.7194826932896371,64.52282517433525,64.75868495663397,-0.23585978229871785,25.043218727628904
253,253,253,661.51,686.82,635.73,643.46,134803.48389,1524873599999,89621495.4179006,132051,65494.83214,43584183.3397351,2018-04-27,5.0,0.31344,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,642.2042857142858,491.8436666666667,722.9262999999999,0.6762962084863932,0.7526436019067181,53.08779134457336,62.42450623422185,-9.33671488964849,25.353195144038754
254,254,254,643.41,694.9,638.76,682.86,113128.36337,1524959999999,76596615.4329475,114761,58734.58851,39786611.3126602,2018-04-28,1.0,0.2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.3457142857143,501.8056666666667,719.8148999999999,0.7628025846547637,0.7651879248895047,59.04009059537168,61.747623106451826,-2.707532511080146,25.59236483370076
255,255,255,683.5,700.49,665.28,690.85,110020.23869,1525046399999,75235079.3018448,121177,52218.32161,35747869.5912503,2018-04-29,1.0,0.6908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,663.3357142857143,511.753,716.3983999999999,0.4770322558105324,0.774323962539474,60.61308089769284,61.52071466470004,-0.9076337670071979,25.688048679151557
256,256,256,690.85,695.3,662.2,670.78,112494.9172,1525132799999,76654028.9797539,109155,56599.46199,38596782.9223376,2018-04-30,,,,,,,,,,,,,667.0057142857142,520.9816666666667,711.5786999999999,0.6600774081260096,0.7556328522248928,49.89483796885247,59.19553932553053,-9.300701356678061,25.77498937775806
257,257,257,670.78,675.6,627.58,672.0,133123.66675,1525219199999,87065924.8511483,120421,60363.54848,39426790.5921005,2018-05-01,5.0,0.57366,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,662.78,530.7623333333333,707.8086999999999,0.46416615107736714,0.575471865671075,42.371276835098115,55.830686827444055,-13.45940999234594,25.89513032661696
258,258,258,671.99,691.99,663.0,688.56,86185.5033,1525305599999,58547697.5057035,97534,47460.1733,32261968.3936199,2018-05-02,5.0,0.25594,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,672.8599999999999,540.8793333333334,704.7642999999999,0.6495483497434686,0.6243916920094148,42.358315221464636,53.136212506248164,-10.777897284783528,25.96232355660777
